id,name,value,timestamp
1,Temperature,31.0,2023-03-09 12:19:40.443930
2,Humidity,30.0,2023-03-09 12:19:40.459982
3,Voltage,0.009677419,2023-03-09 12:19:40.459982
4,Current,0.0,2023-03-09 12:19:40.459982
5,Temperature,31.0,2023-03-09 12:19:45.579933
6,Humidity,30.0,2023-03-09 12:19:45.586149
7,Voltage,0.009677419,2023-03-09 12:19:45.590465
8,Current,0.0,2023-03-09 12:19:45.594464
9,Object Temperature,30.33001137,2023-03-09 12:19:45.597467
10,Temperature,31.0,2023-03-09 12:19:50.812313
11,Humidity,30.0,2023-03-09 12:19:50.819557
12,Voltage,0.012903226,2023-03-09 12:19:50.823557
13,Current,0.0,2023-03-09 12:19:50.828556
14,Object Temperature,1037.549927,2023-03-09 12:19:50.831585
15,Temperature,31.0,2023-03-09 12:19:56.242156
16,Humidity,30.0,2023-03-09 12:19:56.249183
17,Voltage,0.012903226,2023-03-09 12:19:56.252451
18,Current,0.0,2023-03-09 12:19:56.255627
19,Object Temperature,1037.549927,2023-03-09 12:19:56.258626
20,Temperature,31.0,2023-03-09 12:20:01.376524
21,Humidity,30.0,2023-03-09 12:20:01.382692
22,Voltage,0.012903226,2023-03-09 12:20:01.382692
23,Current,0.0,2023-03-09 12:20:01.391275
24,Object Temperature,1037.549927,2023-03-09 12:20:01.396331
25,Temperature,31.0,2023-03-09 12:20:06.970760
26,Humidity,30.0,2023-03-09 12:20:06.970760
27,Voltage,0.012903226,2023-03-09 12:20:06.970760
28,Current,0.0,2023-03-09 12:20:06.986404
29,Object Temperature,1037.549927,2023-03-09 12:20:06.986404
30,Temperature,31.0,2023-03-09 12:20:12.218487
31,Humidity,30.0,2023-03-09 12:20:12.225369
32,Voltage,0.012903226,2023-03-09 12:20:12.229342
33,Current,0.0,2023-03-09 12:20:12.232329
34,Object Temperature,1037.549927,2023-03-09 12:20:12.235331
35,Temperature,31.0,2023-03-09 12:20:17.634715
36,Humidity,30.0,2023-03-09 12:20:17.643710
37,Voltage,0.012903226,2023-03-09 12:20:17.648213
38,Current,0.0,2023-03-09 12:20:17.652214
39,Object Temperature,1037.549927,2023-03-09 12:20:17.656208
40,Temperature,31.0,2023-03-09 12:20:25.337047
41,Humidity,30.0,2023-03-09 12:20:25.343071
42,Voltage,0.012903226,2023-03-09 12:20:25.348861
43,Current,0.0,2023-03-09 12:20:25.352930
44,Object Temperature,1037.549927,2023-03-09 12:20:25.356931
45,Temperature,31.0,2023-03-09 12:20:30.574740
46,Humidity,30.0,2023-03-09 12:20:30.574740
47,Voltage,0.012903226,2023-03-09 12:20:30.590376
48,Current,0.0,2023-03-09 12:20:30.590376
49,Object Temperature,1037.549927,2023-03-09 12:20:30.590376
50,Temperature,31.0,2023-03-09 12:20:35.751838
51,Humidity,30.0,2023-03-09 12:20:35.759205
52,Voltage,0.012903226,2023-03-09 12:20:35.763246
53,Current,0.0,2023-03-09 12:20:35.767207
54,Object Temperature,1037.549927,2023-03-09 12:20:35.769203
55,Temperature,31.0,2023-03-09 12:20:41.077737
56,Humidity,30.0,2023-03-09 12:20:41.085727
57,Voltage,0.012903226,2023-03-09 12:20:41.091888
58,Current,0.0,2023-03-09 12:20:41.096888
59,Object Temperature,1037.549927,2023-03-09 12:20:41.101938
60,Temperature,31.0,2023-03-09 12:20:46.434594
61,Humidity,30.0,2023-03-09 12:20:46.448492
62,Voltage,0.012903226,2023-03-09 12:20:46.454283
63,Current,0.0,2023-03-09 12:20:46.458319
64,Object Temperature,1037.549927,2023-03-09 12:20:46.461289
65,Temperature,31.0,2023-03-09 12:20:51.747844
66,Humidity,30.0,2023-03-09 12:20:51.752794
67,Voltage,0.012903226,2023-03-09 12:20:51.754795
68,Current,0.0,2023-03-09 12:20:51.757792
69,Object Temperature,1037.549927,2023-03-09 12:20:51.760799
70,Temperature,31.0,2023-03-09 12:20:56.890332
71,Humidity,30.0,2023-03-09 12:20:56.896414
72,Voltage,0.012903226,2023-03-09 12:20:56.901936
73,Current,0.0,2023-03-09 12:20:56.904935
74,Object Temperature,1037.549927,2023-03-09 12:20:56.906936
75,Temperature,31.0,2023-03-09 12:21:02.203443
76,Humidity,30.0,2023-03-09 12:21:02.203443
77,Voltage,0.012903226,2023-03-09 12:21:02.203443
78,Current,0.0,2023-03-09 12:21:02.203443
79,Object Temperature,1037.549927,2023-03-09 12:21:02.218449
80,Temperature,31.0,2023-03-09 12:21:07.408500
81,Humidity,30.0,2023-03-09 12:21:07.417527
82,Voltage,0.012903226,2023-03-09 12:21:07.421553
83,Current,0.0,2023-03-09 12:21:07.426553
84,Object Temperature,1037.549927,2023-03-09 12:21:07.429554
85,Temperature,31.0,2023-03-09 12:21:12.738233
86,Humidity,30.0,2023-03-09 12:21:12.745783
87,Voltage,0.012903226,2023-03-09 12:21:12.750797
88,Current,0.0,2023-03-09 12:21:12.754784
